MTR_7g089460	AT1G01020|AT4G01510
MTR_7g118350	AT1G01040
MTR_7g118340	AT1G01050|AT2G46860|AT4G01480
MTR_8g024050	AT1G01050|AT2G46860|AT4G01480
MTR_7g118330	AT1G01060
MTR_1g038560	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
MTR_1g114210	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
MTR_7g118230	AT1G01080
MTR_8g024310	AT1G01090
MTR_8g024350	AT1G01100|AT4G00810|AT5G47700
MTR_7g118060	AT1G01100|AT4G00810|AT5G47700
MTR_8g024540	AT1G01110|AT4G00820|AT4G10640
MTR_8g024590	AT1G01140
MTR_8g024600	AT1G01140
MTR_3g082160	AT1G01150|AT4G12670|AT5G03780
MTR_8g024650	AT1G01160|AT4G00850
MTR_7g091770	AT1G01170|AT4G00860
MTR_4g097550	AT1G01170|AT4G00860
MTR_8g024680	AT1G01180
MTR_8g027040	AT1G01190|AT2G46660|AT3G61880
MTR_7g117910	AT1G01200
MTR_8g027220	AT1G01200
MTR_5g030180	AT1G01210|AT4G07950
MTR_7g116750	AT1G01210|AT4G07950
MTR_7g117870	AT1G01220
MTR_7g117750	AT1G01225|AT4G00905
MTR_8g027285	AT1G01230
MTR_8g027430	AT1G01240|AT2G46550
MTR_7g117715	AT1G01240|AT2G46550
MTR_8g027465	AT1G01250
MTR_7g117690	AT1G01250
MTR_8g027495	AT1G01260|AT2G46510
MTR_7g117670	AT1G01260|AT2G46510
MTR_7g087520	AT1G01280
MTR_1g114590	AT1G01290
MTR_5g015740	AT1G01290
MTR_5g015730	AT1G01290
MTR_7g117430	AT1G01300
MTR_1g067290	AT1G01310
MTR_8g027685	AT1G01320
MTR_8g027755	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
MTR_7g117310	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
MTR_7g108868	AT1G01350|AT4G01023|AT5G06420
MTR_8g058593	AT1G01350|AT4G01023|AT5G06420
MTR_8g058607	AT1G01350|AT4G01023|AT5G06420
MTR_7g109250	AT1G01350|AT4G01023|AT5G06420
MTR_8g027805	AT1G01360|AT4G01026
MTR_8g027840	AT1G01370
MTR_8g027885	AT1G01390|AT1G01420|AT4G01070
MTR_8g027870	AT1G01390|AT1G01420|AT4G01070
MTR_7g117170	AT1G01390|AT1G01420|AT4G01070
MTR_8g027900	AT1G01430|AT4G01080
MTR_8g027990	AT1G01450
MTR_7g116930	AT1G01453|AT2G46300|AT4G01110
MTR_8g028480	AT1G01470
MTR_7g079180	AT1G01470
MTR_8g028600	AT1G01480|AT3G61510
MTR_7g079080	AT1G01480|AT3G61510
MTR_7g079110	AT1G01490
MTR_8g028615	AT1G01490
MTR_8g028630	AT1G01500
MTR_7g078990	AT1G01510
MTR_2g085280	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_3g052870	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_2g030740	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g108580	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g077360	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_3g052920	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g075570	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_0121s0080	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_7g062350	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_5g053390	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_2g093190	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_3g067870	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g075600	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_3g067875	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_5g055100	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_8g043650	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g108510	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_3g030770	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_2g085250	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g105910	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g106070	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g105905	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g012570	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_5g045560	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_1g105920	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_0121s0100	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_3g030780	AT1G01530|AT1G65360|AT4G36590|AT5G60440
MTR_7g078730	AT1G01540|AT4G01330
MTR_8g028695	AT1G01540|AT4G01330
MTR_7g078700	AT1G01550|AT2G46080|AT3G61500|AT4G01360
MTR_8g028710	AT1G01550|AT2G46080|AT3G61500|AT4G01360
MTR_7g078690	AT1G01560|AT2G46070|AT4G01370
MTR_8g028720	AT1G01560|AT2G46070|AT4G01370
MTR_8g028765	AT1G01570|AT4G00300
MTR_7g078320	AT1G01570|AT4G00300
MTR_8g028780	AT1G01580|AT1G01590|AT1G23020
MTR_8g031070	AT1G01580|AT1G01590|AT1G23020
MTR_8g028795	AT1G01580|AT1G01590|AT1G23020
MTR_8g030590	AT1G01600|AT2G45970|AT4G00360
MTR_8g030620	AT1G01610|AT4G00400
MTR_5g010150	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
MTR_3g070210	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
MTR_4g415300	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
MTR_8g098375	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
MTR_5g082070	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
MTR_8g096170	AT1G01630
MTR_8g096180	AT1G01630
MTR_3g098530	AT1G01630
MTR_8g030680	AT1G01650
MTR_7g077800	AT1G01650
MTR_8g030730	AT1G01690
MTR_8g030750	AT1G01695|AT2G45900|AT3G61380|AT4G00440
MTR_7g077740	AT1G01695|AT2G45900|AT3G61380|AT4G00440
MTR_7g077690	AT1G01700|AT2G45890|AT4G00460
MTR_8g030850	AT1G01700|AT2G45890|AT4G00460
MTR_7g077400	AT1G01710|AT4G00520
MTR_8g030920	AT1G01710|AT4G00520
MTR_3g088110	AT1G01720|AT1G77450
MTR_8g031010	AT1G01725|AT4G00530
MTR_7g077380	AT1G01730
MTR_7g077150	AT1G01740|AT4G00710
MTR_8g031030	AT1G01740|AT4G00710
MTR_8g031440	AT1G01760
MTR_8g031480	AT1G01770
MTR_8g031490	AT1G01780|AT2G45800|AT3G61230
MTR_7g076720	AT1G01780|AT2G45800|AT3G61230
MTR_8g031550	AT1G01790|AT4G00630
MTR_7g076700	AT1G01790|AT4G00630
MTR_7g076200	AT1G01820|AT2G45740|AT3G61070
MTR_8g032570	AT1G01830|AT2G45720
MTR_7g076220	AT1G01830|AT2G45720
MTR_7g076270	AT1G01840
MTR_7g076280	AT1G01860
MTR_7g076290	AT1G01880
MTR_7g075900	AT1G01900
MTR_8g032880	AT1G01910
MTR_7g076590	AT1G01920
MTR_7g075170	AT1G01930
MTR_7g075185	AT1G01930
MTR_7g075430	AT1G01930
MTR_8g036015	AT1G01940
MTR_7g075060	AT1G01950
MTR_7g075030	AT1G01960|AT3G60860
MTR_8g036080	AT1G01960|AT3G60860
MTR_7g075000	AT1G01970
MTR_7g075010	AT1G01970
MTR_4g094515	AT1G01980|AT1G11770|AT1G30740|AT4G20830|AT4G20840
MTR_2g031510	AT1G01980|AT1G11770|AT1G30740|AT4G20830|AT4G20840
MTR_2g031490	AT1G01980|AT1G11770|AT1G30740|AT4G20830|AT4G20840
MTR_8g101290	AT1G01990
MTR_0354s0040	AT1G02000|AT4G00110
MTR_4g023610	AT1G02010
MTR_4g025130	AT1G02020
MTR_4g027440	AT1G02030|AT2G45120|AT3G60580
