Solyc11g008790.1	AT1G01020|AT4G01510
Solyc10g005130.2	AT1G01040
Solyc08g013680.2	AT1G01050|AT2G46860|AT4G01480
Solyc12g055830.1	AT1G01050|AT2G46860|AT4G01480
Solyc08g083370.2	AT1G01050|AT2G46860|AT4G01480
Solyc10g005080.2	AT1G01060
Solyc04g007590.1	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
Solyc07g042920.1	AT1G01090
Solyc12g009410.1	AT1G01090
Solyc12g009400.1	AT1G01090
Solyc01g104370.2	AT1G01100|AT4G00810|AT5G47700
Solyc10g005000.2	AT1G01110|AT4G00820|AT4G10640
Solyc10g009240.2	AT1G01120
Solyc05g047600.2	AT1G01140
Solyc07g056120.2	AT1G01150|AT4G12670|AT5G03780
Solyc10g009280.2	AT1G01160|AT4G00850
Solyc10g080190.1	AT1G01170|AT4G00860
Solyc01g096380.1	AT1G01180
Solyc10g009310.2	AT1G01190|AT2G46660|AT3G61880
Solyc01g096280.1	AT1G01190|AT2G46660|AT3G61880
Solyc05g047680.2	AT1G01190|AT2G46660|AT3G61880
Solyc01g096220.2	AT1G01200
Solyc05g055890.2	AT1G01210|AT4G07950
Solyc01g096160.2	AT1G01220
Solyc01g096150.2	AT1G01225|AT4G00905
Solyc05g050520.2	AT1G01225|AT4G00905
Solyc01g096130.2	AT1G01230
Solyc01g096100.2	AT1G01240|AT2G46550
Solyc01g096050.2	AT1G01260|AT2G46510
Solyc05g050560.1	AT1G01260|AT2G46510
Solyc10g009390.2	AT1G01280
Solyc05g050570.2	AT1G01290
Solyc10g009410.1	AT1G01300
Solyc01g096040.2	AT1G01300
Solyc05g050630.2	AT1G01320
Solyc01g095900.2	AT1G01320
Solyc05g050360.2	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
Solyc05g050380.2	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
Solyc05g050350.1	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
Solyc01g095770.2	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
Solyc02g082110.2	AT1G01350|AT4G01023|AT5G06420
Solyc01g095700.2	AT1G01360|AT4G01026
Solyc01g095650.2	AT1G01370
Solyc01g095620.2	AT1G01390|AT1G01420|AT4G01070
Solyc10g009580.2	AT1G01390|AT1G01420|AT4G01070
Solyc10g009590.2	AT1G01430|AT4G01080
Solyc01g095610.2	AT1G01430|AT4G01080
Solyc01g095550.2	AT1G01450
Solyc10g011750.2	AT1G01453|AT2G46300|AT4G01110
Solyc05g050010.2	AT1G01480|AT3G61510
Solyc01g095080.2	AT1G01480|AT3G61510
Solyc05g049990.2	AT1G01490
Solyc01g095070.2	AT1G01490
Solyc01g095060.2	AT1G01500
Solyc10g011980.2	AT1G01500
Solyc01g095040.2	AT1G01510
Solyc04g025050.1	AT1G01530|AT1G65360|AT4G36590|AT5G60440
Solyc01g106730.1	AT1G01530|AT1G65360|AT4G36590|AT5G60440
Solyc04g047870.1	AT1G01530|AT1G65360|AT4G36590|AT5G60440
Solyc04g025030.1	AT1G01530|AT1G65360|AT4G36590|AT5G60440
Solyc04g025110.1	AT1G01530|AT1G65360|AT4G36590|AT5G60440
Solyc01g094940.2	AT1G01540|AT4G01330
Solyc10g012070.2	AT1G01550|AT2G46080|AT3G61500|AT4G01360
Solyc01g094950.2	AT1G01550|AT2G46080|AT3G61500|AT4G01360
Solyc01g094960.2	AT1G01560|AT2G46070|AT4G01370
Solyc05g049970.2	AT1G01560|AT2G46070|AT4G01370
Solyc01g094990.2	AT1G01570|AT4G00300
Solyc01g094910.2	AT1G01580|AT1G01590|AT1G23020
Solyc01g094890.2	AT1G01580|AT1G01590|AT1G23020
Solyc01g094900.1	AT1G01580|AT1G01590|AT1G23020
Solyc01g094750.2	AT1G01600|AT2G45970|AT4G00360
Solyc01g094700.2	AT1G01610|AT4G00400
Solyc01g094690.2	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
Solyc08g081190.2	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
Solyc12g056220.1	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
Solyc08g008050.2	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
Solyc03g096290.2	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
Solyc06g068800.2	AT1G01630
Solyc03g118150.2	AT1G01630
Solyc10g012430.2	AT1G01650
Solyc01g094680.2	AT1G01650
Solyc01g094650.2	AT1G01690
Solyc01g094640.2	AT1G01695|AT2G45900|AT3G61380|AT4G00440
Solyc01g094610.2	AT1G01700|AT2G45890|AT4G00460
Solyc01g094550.2	AT1G01710|AT4G00520
Solyc01g094530.2	AT1G01710|AT4G00520
Solyc06g060230.2	AT1G01720|AT1G77450
Solyc11g017470.1	AT1G01720|AT1G77450
Solyc05g049880.2	AT1G01730
Solyc05g048810.2	AT1G01760
Solyc01g094330.2	AT1G01770
Solyc05g049870.2	AT1G01780|AT2G45800|AT3G61230
Solyc01g094320.2	AT1G01780|AT2G45800|AT3G61230
Solyc10g017520.2	AT1G01780|AT2G45800|AT3G61230
Solyc01g094290.2	AT1G01790|AT4G00630
Solyc10g017850.2	AT1G01820|AT2G45740|AT3G61070
Solyc01g091730.2	AT1G01820|AT2G45740|AT3G61070
Solyc01g091740.2	AT1G01830|AT2G45720
Solyc01g091790.2	AT1G01840
Solyc01g091800.2	AT1G01860
