OS03G0784300	AT1G01020|AT4G01510
OS02G0455800	AT1G01030|AT3G11580|AT4G01500|AT5G06250
OS02G0455900	AT1G01030|AT3G11580|AT4G01500|AT5G06250
OS03G0121800	AT1G01040
OS01G0866500	AT1G01050|AT2G46860|AT4G01480
OS10G0406100	AT1G01050|AT2G46860|AT4G01480
OS05G0438500	AT1G01050|AT2G46860|AT4G01480
OS04G0687100	AT1G01050|AT2G46860|AT4G01480
OS01G0322300	AT1G01050|AT2G46860|AT4G01480
OS08G0157600	AT1G01060
OS06G0107600	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
OS04G0457300	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
OS02G0103600	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
OS06G0109300	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
OS06G0109200	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
OS02G0103500	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
OS04G0422300	AT1G01070|AT1G11450|AT1G11460|AT3G30340|AT4G01430|AT4G01440|AT4G01450
OS08G0117100	AT1G01080
OS04G0119400	AT1G01090
OS08G0116500	AT1G01100|AT4G00810|AT5G47700
OS08G0115200	AT1G01110|AT4G00820|AT4G10640
OS03G0245700	AT1G01120
OS03G0126800	AT1G01140
OS11G0615200	AT1G01160|AT4G00850
OS12G0496900	AT1G01160|AT4G00850
OS06G0115100	AT1G01170|AT4G00860
OS06G0114500	AT1G01170|AT4G00860
OS11G0161200	AT1G01170|AT4G00860
OS09G0518900	AT1G01180
OS03G0134500	AT1G01190|AT2G46660|AT3G61880
OS09G0528700	AT1G01190|AT2G46660|AT3G61880
OS08G0547300	AT1G01190|AT2G46660|AT3G61880
OS09G0527600	AT1G01200
OS06G0714600	AT1G01200
OS02G0672700	AT1G01210|AT4G07950
OS03G0115100	AT1G01220
OS08G0546900	AT1G01225|AT4G00905
OS09G0526800	AT1G01225|AT4G00905
OS02G0673600	AT1G01230
OS07G0452500	AT1G01230
OS04G0567700	AT1G01230
OS09G0363500	AT1G01240|AT2G46550
OS08G0400300	AT1G01240|AT2G46550
OS01G0705700	AT1G01260|AT2G46510
OS01G0235700	AT1G01260|AT2G46510
OS08G0131100	AT1G01280
OS04G0460500	AT1G01290
OS01G0598600	AT1G01300
OS01G0720000	AT1G01300
OS05G0590000	AT1G01300
OS05G0595000	AT1G01310
OS05G0595200	AT1G01310
OS07G0421866	AT1G01320
OS06G0527100	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
OS06G0527300	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
OS02G0255000	AT1G01340|AT2G46430|AT2G46440|AT2G46450|AT4G01010
OS02G0301000	AT1G01350|AT4G01023|AT5G06420
OS05G0213500	AT1G01360|AT4G01026
OS02G0255500	AT1G01360|AT4G01026
OS05G0489800	AT1G01370
OS06G0289200	AT1G01390|AT1G01420|AT4G01070
OS06G0289900	AT1G01390|AT1G01420|AT4G01070
OS06G0288300	AT1G01390|AT1G01420|AT4G01070
OS06G0524400	AT1G01430|AT4G01080
OS05G0214900	AT1G01430|AT4G01080
OS05G0585800	AT1G01450
OS01G0621600	AT1G01450
OS02G0261000	AT1G01453|AT2G46300|AT4G01110
OS01G0624400	AT1G01470
OS05G0584200	AT1G01470
OS01G0225600	AT1G01470
OS04G0578000	AT1G01480|AT3G61510
OS03G0126700	AT1G01490
OS10G0532300	AT1G01490
OS04G0667600	AT1G01490
OS12G0421000	AT1G01490
OS08G0151600	AT1G01500
OS03G0126100	AT1G01510
OS10G0533000	AT1G01510
OS03G0125600	AT1G01540|AT4G01330
OS10G0533150	AT1G01540|AT4G01330
OS10G0513300	AT1G01550|AT2G46080|AT3G61500|AT4G01360
OS10G0533600	AT1G01560|AT2G46070|AT4G01370
OS08G0157000	AT1G01560|AT2G46070|AT4G01370
OS04G0578600	AT1G01580|AT1G01590|AT1G23020
OS04G0560100	AT1G01600|AT2G45970|AT4G00360
OS02G0666500	AT1G01600|AT2G45970|AT4G00360
OS02G0114400	AT1G01610|AT4G00400
OS02G0823100	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
OS02G0666200	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
OS04G0559700	AT1G01620|AT2G45960|AT3G61430|AT4G00430|AT4G23400
OS03G0850700	AT1G01630
OS01G0926800	AT1G01630
OS11G0111900	AT1G01640|AT2G05330|AT2G40440|AT2G40450|AT3G29740|AT4G04090|AT5G48510
OS12G0111500	AT1G01640|AT2G05330|AT2G40440|AT2G40450|AT3G29740|AT4G04090|AT5G48510
OS10G0552400	AT1G01660|AT1G01670|AT1G01680|AT1G56030|AT1G56040|AT2G45920|AT3G61390|AT3G61410
OS10G0548850	AT1G01660|AT1G01670|AT1G01680|AT1G56030|AT1G56040|AT2G45920|AT3G61390|AT3G61410
OS03G0106300	AT1G01690
OS04G0559200	AT1G01695|AT2G45900|AT3G61380|AT4G00440
OS10G0550000	AT1G01695|AT2G45900|AT3G61380|AT4G00440
OS03G0106200	AT1G01695|AT2G45900|AT3G61380|AT4G00440
OS07G0481100	AT1G01700|AT2G45890|AT4G00460
OS04G0559100	AT1G01700|AT2G45890|AT4G00460
OS10G0550300	AT1G01700|AT2G45890|AT4G00460
OS04G0558400	AT1G01710|AT4G00520
OS11G0184900	AT1G01720|AT1G77450
OS01G0884300	AT1G01720|AT1G77450
OS04G0556900	AT1G01730
OS02G0664700	AT1G01730
OS04G0684200	AT1G01740|AT4G00710
OS04G0555700	AT1G01750|AT4G00680
OS02G0663800	AT1G01750|AT4G00680
OS04G0683500	AT1G01760
OS07G0457300	AT1G01770
OS04G0532500	AT1G01780|AT2G45800|AT3G61230
OS02G0641000	AT1G01780|AT2G45800|AT3G61230
OS10G0503100	AT1G01780|AT2G45800|AT3G61230
OS04G0682800	AT1G01790|AT4G00630
OS02G0640600	AT1G01800
OS06G0127000	AT1G01820|AT2G45740|AT3G61070
OS10G0522601	AT1G01830|AT2G45720
OS03G0116900	AT1G01830|AT2G45720
OS02G0122900	AT1G01860
OS09G0521900	AT1G01880
OS09G0521500	AT1G01910
OS06G0127200	AT1G01920
OS04G0574600	AT1G01930
OS06G0130500	AT1G01940
OS06G0137100	AT1G01950
OS03G0246800	AT1G01960|AT3G60860
OS07G0661900	AT1G01970
OS03G0249500	AT1G02000|AT4G00110
OS06G0135900	AT1G02010
OS10G0190800	AT1G02020
OS04G0552700	AT1G02030|AT2G45120|AT3G60580
OS02G0659500	AT1G02030|AT2G45120|AT3G60580
OS10G0555300	AT1G02030|AT2G45120|AT3G60580
OS04G0552400	AT1G02040
OS02G0659100	AT1G02040
OS10G0484800	AT1G02050|AT4G00040
OS02G0121900	AT1G02060
OS02G0177300	AT1G02065
OS04G0656500	AT1G02065
OS06G0659100	AT1G02065
OS02G0658200	AT1G02070|AT3G60520
OS04G0551600	AT1G02070|AT3G60520
OS10G0556700	AT1G02080
OS03G0102366	AT1G02080
OS10G0556600	AT1G02080
OS03G0102333	AT1G02080
OS03G0102300	AT1G02080
OS07G0490800	AT1G02090
OS06G0140100	AT1G02100
OS02G0654600	AT1G02110|AT3G60320
OS10G0562700	AT1G02110|AT3G60320
OS07G0491600	AT1G02120
OS02G0653800	AT1G02130
OS01G0179700	AT1G02130
OS08G0107900	AT1G02140
OS12G0287200	AT1G02140
OS04G0544900	AT1G02145
OS04G0544400	AT1G02150
OS04G0665000	AT1G02160
OS10G0565100	AT1G02170
OS02G0834300	AT1G02180
OS10G0471100	AT1G02190|AT1G02205
OS04G0512200	AT1G02190|AT1G02205
OS02G0621300	AT1G02190|AT1G02205
OS10G0547500	AT1G02260
OS03G0107300	AT1G02260
OS10G0203000	AT1G02270
OS03G0240500	AT1G02280
OS08G0500500	AT1G02290
OS05G0310500	AT1G02300|AT1G02305|AT4G01610
OS02G0766900	AT1G02310
OS03G0374100	AT1G02330
OS05G0277500	AT1G02335|AT3G62020
OS01G0249200	AT1G02335|AT3G62020
OS01G0287600	AT1G02360|AT4G01700
OS05G0138200	AT1G02360|AT4G01700
OS01G0301500	AT1G02370|AT4G01990
OS01G0301000	AT1G02370|AT4G01990
OS01G0301700	AT1G02370|AT4G01990
OS01G0299500	AT1G02380|AT4G01960
OS05G0131900	AT1G02380|AT4G01960
OS05G0280500	AT1G02390|AT4G01950
OS01G0329000	AT1G02390|AT4G01950
OS11G0679700	AT1G02390|AT4G01950
OS01G0299300	AT1G02390|AT4G01950
OS03G0832800	AT1G02390|AT4G01950
OS12G0563000	AT1G02390|AT4G01950
OS05G0158600	AT1G02400
OS01G0332200	AT1G02400
OS03G0718600	AT1G02410
OS03G0208600	AT1G02420
OS01G0296200	AT1G02460|AT4G01890
OS01G0328600	AT1G02470|AT1G02475|AT4G01883
